Age,RemoteWork,EdLevel,YearsCode,YearsCodePro,Country,Employment,ConvertedCompYearly
18-24 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6.0,2.0,Italy,"Employed, full-time",17937.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,4.0,United States of America,"Employed, full-time",170000.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,4.0,United States of America,"Employed, full-time",240000.0
55-64 years old,"Hybrid (some remote, some in-person)",Something else,42.0,37.0,Germany,"Employed, full-time",80555.0
35-44 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22.0,19.0,Canada,"Employed, full-time",94501.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,15.0,United States of America,"Employed, full-time",155000.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,9.0,United States of America,"Employed, full-time",220000.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,11.0,France,"Independent contractor, freelancer, or self-employed",64444.0
25-34 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,11.0,6.0,Sweden,"Employed, full-time",44831.0
18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,2.0,Uzbekistan,"Employed, full-time",17129.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,8.0,Cuba,"Employed, full-time",12000.0
55-64 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,12.0,France,"Employed, full-time",59073.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,19.0,Ukraine,"Employed, full-time",2592.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5.0,Italy,"Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time",27926.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,15.0,Netherlands,"Employed, full-time",171850.0
45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,20.0,"Iran, Islamic Republic of...","Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",237600.0
18-24 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,10.0,0.0,Australia,"Student, full-time;Employed, part-time",13213.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,6.0,Ukraine,"Employed, full-time",1703.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,15.0,Chile,"Employed, full-time",51991.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,17.0,Malaysia,"Employed, full-time;Independent contractor, freelancer, or self-employed",14832.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17.0,1.0,United States of America,"Employed, full-time",50000.0
25-34 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",12.0,6.0,Romania,"Employed, full-time",31071.0
45-54 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",37.0,25.0,Belgium,"Employed, full-time",42962.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,9.0,Poland,"Employed, full-time",65578.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24.0,21.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",129936.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,5.0,United States of America,"Employed, full-time",210000.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,2.0,India,"Employed, full-time",9056.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,5.0,Portugal,"Employed, full-time",45111.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,8.0,Jordan,"Employed, full-time",203661.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22.0,16.0,Georgia,"Employed, full-time",110000.0
35-44 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5.0,"Iran, Islamic Republic of...","Independent contractor, freelancer, or self-employed",12000.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.0,2.0,Russian Federation,"Employed, full-time",35854.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",56051.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,7.0,United States of America,"Employed, full-time",177000.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,10.0,Croatia,"Employed, full-time",27926.0
35-44 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,3.0,Rwanda,"Employed, full-time",18911.0
18-24 years old,In-person,Some college/university study without earning a degree,6.0,5.0,Switzerland,"Employed, part-time",40110.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,6.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",63694.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,7.0,India,"Employed, full-time",33258.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,2.0,United States of America,"Employed, full-time",65000.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,1.0,Indonesia,"Employed, full-time",9568.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,7.0,Poland,"Employed, full-time",50000.0
18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,2.0,United States of America,"Employed, full-time",80000.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,13.0,United States of America,"Employed, full-time",195000.0
35-44 years old,Remote,Some college/university study without earning a degree,12.0,12.0,Brazil,"Employed, full-time",33568.0
18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,4.0,Germany,"Employed, full-time",59073.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,13.0,Ireland,"Employed, full-time",107406.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17.0,15.0,France,"Employed, full-time",139628.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,10.0,Brazil,"Independent contractor, freelancer, or self-employed",24243.0
18-24 years old,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4.0,2.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",26751.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,10.0,United States of America,"Employed, full-time",230000.0
18-24 years old,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6.0,2.0,Germany,"Employed, full-time;Student, full-time",19333.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,6.0,Switzerland,"Employed, full-time",77992.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,2.0,Israel,"Employed, full-time",97143.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,3.0,Switzerland,"Employed, full-time",111417.0
35-44 years old,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",19.0,10.0,United States of America,"Employed, full-time",240000.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,10.0,Czech Republic,"Employed, full-time",52991.0
35-44 years old,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",15.0,12.0,United States of America,"Employed, full-time",145000.0
35-44 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,11.0,Israel,"Employed, full-time",134921.0
25-34 years old,In-person,Some college/university study without earning a degree,14.0,8.0,Germany,"Employed, full-time",51988.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,2.0,Poland,"Employed, full-time",21777.0
25-34 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,18.0,10.0,Germany,"Employed, full-time",59073.0
35-44 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,14.0,France,"Employed, full-time",85925.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,18.0,United States of America,"Employed, full-time",200000.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,8.0,Germany,"Employed, full-time",66592.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,3.0,Ukraine,"Employed, full-time",70000.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,3.0,India,"Employed, full-time",5384.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,14.0,Singapore,"Employed, full-time",158918.0
18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,0.0,Spain,"Employed, full-time;Student, full-time",25777.0
45-54 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,20.0,United States of America,"Independent contractor, freelancer, or self-employed",100000.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,5.0,Germany,"Employed, full-time",78407.0
18-24 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,1.0,Canada,"Employed, full-time",58154.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21.0,21.0,Brazil,"Employed, full-time",36701.0
35-44 years old,"Hybrid (some remote, some in-person)",Primary/elementary school,18.0,14.0,Cyprus,"Employed, full-time",91295.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,7.0,Netherlands,"Student, full-time;Employed, part-time",10741.0
35-44 years old,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",16.0,6.0,Finland,"Employed, full-time",88073.0
45-54 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",37.0,17.0,Canada,"Employed, full-time",90866.0
45-54 years old,In-person,Some college/university study without earning a degree,35.0,23.0,United States of America,"Employed, full-time",148000.0
25-34 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",20.0,8.0,Austria,"Employed, full-time",85925.0
45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",33.0,26.0,Poland,"Employed, full-time",136105.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,7.0,Norway,"Employed, full-time",70193.0
35-44 years old,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",5.0,4.0,United States of America,"Employed, full-time",155000.0
18-24 years old,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",4.0,1.0,Canada,"Employed, full-time",35620.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,10.0,Netherlands,"Employed, full-time",91295.0
25-34 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",15.0,11.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",146496.0
25-34 years old,Remote,Some college/university study without earning a degree,12.0,3.0,Germany,"Employed, full-time",48333.0
25-34 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,14.0,10.0,Brazil,"Employed, full-time",22378.0
45-54 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35.0,20.0,Norway,"Employed, full-time",112309.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,10.0,Portugal,"Independent contractor, freelancer, or self-employed",128887.0
25-34 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1.0,0.0,United States of America,"Employed, full-time",40000.0
18-24 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,1.0,Netherlands,"Employed, full-time",53703.0
18-24 years old,Remote,Some college/university study without earning a degree,12.0,4.0,United States of America,"Employed, full-time;Student, full-time",109000.0
25-34 years old,Remote,"Associate degree (A.A., A.S., etc.)",4.0,4.0,United States of America,"Employed, full-time",100000.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,8.0,United States of America,"Employed, full-time",115000.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,9.0,India,"Employed, full-time",59817.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,5.0,Brazil,"Employed, full-time",18089.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,4.0,United States of America,"Independent contractor, freelancer, or self-employed",85000.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,4.0,United States of America,"Employed, full-time",124800.0
35-44 years old,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",15.0,5.0,Ukraine,"Employed, full-time",17772.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,14.0,United States of America,"Employed, full-time",200000.0
25-34 years old,Remote,Some college/university study without earning a degree,10.0,6.0,Chile,"Employed, full-time;Independent contractor, freelancer, or self-employed",33600.0
35-44 years old,Remote,Some college/university study without earning a degree,10.0,10.0,United States of America,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",200000.0
18-24 years old,Remote,Some college/university study without earning a degree,8.0,3.0,Australia,"Student, full-time;Independent contractor, freelancer, or self-employed",19820.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,5.0,Italy,"Employed, full-time",46185.0
55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",44.0,40.0,United States of America,"Employed, full-time",225000.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,4.0,Canada,"Employed, full-time",94501.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,6.0,United States of America,"Employed, full-time",131000.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,10.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",121018.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,2.0,France,"Employed, full-time",37592.0
18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,1.0,Netherlands,"Employed, full-time;Student, full-time",53703.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,2.0,India,"Employed, full-time",7896.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,9.0,Czech Republic,"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed",124397.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,10.0,Brazil,"Employed, full-time",22378.0
35-44 years old,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",21.0,19.0,United States of America,"Employed, full-time;Independent contractor, freelancer, or self-employed",120000.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,20.0,Canada,"Employed, full-time",87231.0
18-24 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.0,1.0,United States of America,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",150000.0
25-34 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7.0,6.0,Czech Republic,"Independent contractor, freelancer, or self-employed",52122.0
35-44 years old,In-person,Some college/university study without earning a degree,5.0,5.0,Nigeria,"Employed, full-time",1.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,6.0,France,"Employed, full-time",61651.0
18-24 years old,Remote,Primary/elementary school,7.0,2.0,Poland,"Employed, part-time",8909.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,11.0,United States of America,"Employed, full-time",123000.0
45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,25.0,United States of America,"Employed, full-time",150000.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,4.0,India,"Employed, full-time",83744.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,4.0,Sweden,"Employed, full-time",71534.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,4.0,Germany,"Employed, full-time",82703.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,7.0,Italy,"Employed, full-time",35444.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,8.0,Ukraine,"Employed, full-time",110000.0
18-24 years old,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",8.0,3.0,Italy,"Employed, full-time",32222.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,11.0,Canada,"Employed, full-time",94501.0
25-34 years old,Remote,Primary/elementary school,10.0,6.0,Brazil,"Employed, full-time",90000.0
18-24 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,1.0,Norway,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",93591.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,13.0,Chile,"Employed, full-time",4983.0
35-44 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",23.0,19.0,Austria,"Employed, full-time",99888.0
45-54 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26.0,21.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",98089.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,13.0,United States of America,"Employed, full-time",134000.0
35-44 years old,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",25.0,10.0,Poland,"Independent contractor, freelancer, or self-employed",95026.0
45-54 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,23.0,United States of America,"Employed, full-time",225000.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.0,0.0,United States of America,"Employed, full-time",65000.0
55-64 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,25.0,South Africa,"Independent contractor, freelancer, or self-employed",53808.0
18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,1.0,Norway,"Student, full-time;Employed, part-time",52561.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,11.0,United States of America,"Employed, full-time",250000.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,5.0,Germany,"Employed, full-time",70888.0
18-24 years old,Remote,Some college/university study without earning a degree,10.0,4.0,Czech Republic,"Student, full-time;Employed, part-time",21717.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,5.0,United States of America,"Employed, full-time",120000.0
18-24 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.0,3.0,France,"Employed, full-time",59073.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,15.0,France,"Employed, full-time",161109.0
18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,1.0,India,"Employed, part-time",2871.0
25-34 years old,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",25.0,13.0,Switzerland,"Employed, full-time",130358.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,4.0,Ukraine,"Employed, full-time",9479.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,6.0,Poland,"Independent contractor, freelancer, or self-employed",84138.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,7.0,Isle of Man,"Employed, full-time",82802.0
35-44 years old,"Hybrid (some remote, some in-person)",Primary/elementary school,25.0,15.0,Norway,"Employed, full-time",93591.0
45-54 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,24.0,Netherlands,"Employed, full-time",134258.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,4.0,Belgium,"Employed, full-time",53703.0
45-54 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40.0,26.0,Canada,"Employed, full-time",88685.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17.0,14.0,Canada,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",61789.0
18-24 years old,Remote,"Associate degree (A.A., A.S., etc.)",9.0,2.0,France,"Employed, full-time",37377.0
55-64 years old,Remote,Some college/university study without earning a degree,42.0,38.0,Argentina,"Independent contractor, freelancer, or self-employed;Employed, part-time",53208.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,6.0,Mexico,"Employed, full-time",54664.0
25-34 years old,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",15.0,19.0,Serbia,"Employed, full-time",2294.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,15.0,Spain,"Employed, full-time",69814.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,12.0,France,"Employed, full-time",81629.0
55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",38.0,36.0,United States of America,"Employed, full-time",153000.0
45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",34.0,34.0,United States of America,"Independent contractor, freelancer, or self-employed",280000.0
45-54 years old,In-person,Some college/university study without earning a degree,25.0,22.0,Italy,"Employed, full-time",40814.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,7.0,France,"Employed, full-time",48333.0
45-54 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,20.0,Singapore,"Employed, full-time",295662.0
55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",42.0,41.0,Australia,"Employed, full-time",122222.0
35-44 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,15.0,United States of America,"Employed, full-time",80000.0
25-34 years old,In-person,Some college/university study without earning a degree,8.0,0.0,United States of America,"Employed, full-time",50000.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,5.0,France,"Employed, full-time",48333.0
35-44 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,14.0,United States of America,"Employed, full-time",231600.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,4.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",63694.0
45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27.0,23.0,United States of America,"Employed, full-time",175000.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,0.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",121018.0
18-24 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6.0,3.0,Italy,"Employed, full-time",18152.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,13.0,Ukraine,"Independent contractor, freelancer, or self-employed;Not employed, and not looking for work",49368.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,13.0,United States of America,"Employed, full-time",218000.0
18-24 years old,Remote,"Associate degree (A.A., A.S., etc.)",10.0,4.0,Canada,"Student, full-time;Independent contractor, freelancer, or self-employed",25443.0
45-54 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",28.0,35.0,Germany,"Independent contractor, freelancer, or self-employed",150369.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,10.0,Germany,"Employed, full-time",80555.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,22.0,Argentina,"Independent contractor, freelancer, or self-employed",40000.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,5.0,"Venezuela, Bolivarian Republic of...","Employed, full-time",20000.0
25-34 years old,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10.0,8.0,Brazil,"Employed, full-time;Student, part-time",7161.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,15.0,Pakistan,"Employed, full-time;Independent contractor, freelancer, or self-employed",32301.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,19.0,Sweden,"Employed, full-time;Independent contractor, freelancer, or self-employed",126384.0
25-34 years old,In-person,Some college/university study without earning a degree,13.0,10.0,United States of America,"Employed, full-time",150000.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",19.0,17.0,Pakistan,"Employed, full-time",8614.0
